GEMEENTE	AUTO	Aantal Gebruikers	Aantal ritten	Duur ritten (min)	Duur reservering (min)	AFSTAND (km)	Verschil met doel (gebaseerd op km)	km gereden / duurtijd rit (uur)	Tijd gereden / Tijd gereserveerd	Opmerking																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Pixie	18	22	10887	9797	1258.7	-21%	6.94	111%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Achiel	13	24	8298	7928	1254.4	-22%	9.07	105%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Kobe	11	20	9137	9085	1190.8	-26%	7.82	101%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Guido	3	15	15420	13789	1187.1	-26%	4.62	112%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Lief	13	41	7030	6641	1184	-26%	10.11	106%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Eva	7	19	11951	11718	1174	-27%	5.89	102%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Suzy	8	32	15568	14987	1149.1	-28%	4.43	104%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Bono	6	14	7432	7266	1134.9	-29%	9.16	102%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Zen	10	13	7866	7596	1134	-29%	8.65	104%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Titine	7	19	13157	12704	1012	-37%	4.62	104%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Isidor	6	18	10316	10150	977.4	-39%	5.68	102%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Otto	24	28	7080	6497	956	-40%	8.10	109%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Uno	12	20	4865	4528	944.8	-41%	11.65	107%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Ruby	9	15	6773	6395	938.1	-41%	8.31	106%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Pjotr	11	12	4832	4587	894.3	-44%	11.10	105%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Braam	10	15	4167	4076	844.2	-47%	12.16	102%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Mees	8	15	10073	9818	737.2	-54%	4.39	103%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Timicheg	8	21	6892	6604	674.9	-58%	5.88	104%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Vespa	9	18	3936	3823	639.7	-60%	9.75	103%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Kenny	4	9	2889	2851	623.8	-61%	12.96	101%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Bullitt	4	15	2128	2064	537.9	-66%	15.17	103%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Foxy	13	17	5179	4914	518.4	-68%	6.01	105%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Rozane	9	14	15116	14495	485.7	-70%	1.93	104%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
